character	scorer	alignment_score_0_to_5	matched_elements	missing_or_different_elements	one_sentence_read
Haruki Minamoto	grok_4_20	1.5	Japanese name (Haruki); meticulous personality expressed through very specific, detail-oriented hobbies (notebooks with cloud drawings, 0.38mm pens, bonsai, ume-shu brewing, RC car maintenance)	robotics engineer; spiking neural networks / any AI or computational neuroscience connection; any mention of research, engineering work, academia, or technical expertise; all models generated only mundane Japanese salaryman hobbies and daily life with zero technical content	The models captured a meticulous Japanese man named Haruki who has precise, methodical hobbies, but completely failed to recover that he is a robotics engineer working on spiking neural networks.
Haruki Minamoto	gemini_3_flash	1	meticulousness (reflected in the 0.38mm pens, cloud drawings, and water testing); Japanese nationality/setting	robotics engineer (replaced by water technician, draftsman, or civil engineer); spiking neural networks (completely absent; replaced by manual/analog hobbies like radio-controlled cars and bonsai); professional field (none of the models identified a high-tech or AI-related career)	While the models successfully captured the 'meticulous' personality trait through various analog hobbies, they entirely failed to recover the core professional identity of robotics and neural networks, instead pivoting to blue-collar or traditional engineering roles.
Haruki Minamoto	sonnet_4_6	0		robotics engineer (character is a water-quality technician / civil engineer / draftsman); spiking neural networks (no mention of neuroscience, AI, or neural computation of any kind); meticulous personality trait (partially echoed in pen-ordering and notebook-drawing details, but not in a professional/technical context); Japan setting (present, but trivially expected from a Japanese name)	The generated facts portray a mild-mannered, nature-observing municipal worker or draftsman with hobbyist tendencies, bearing no recoverable trace of the seed's robotics engineering or spiking neural network specialization.
Haruki Minamoto	mean	0.83			meticulous robotics engineer from Japan who works on spiking neural networks
Cillian Frost	grok_4_20	4	clearly Irish; cold bastard exterior; heart of gold	total joker / sense of humor	The final facts strongly recovered the Irish origin, the emotionally reserved 'cold bastard' persona (quiet, disciplined routines, ex-wife spreadsheet dynamic), and underlying warmth (deep respect for colleague, obsessive personal notebooks, lifelong commitments), but completely missed the 'total joker' comedic aspect.
Cillian Frost	gemini_3_flash	2	clearly Irish	total joker; comes off like a cold bastard; secretly has a heart of gold	While the model perfectly captured the Irish heritage and a rugged, stoic persona, it completely missed the 'joker' personality and the specific 'cold bastard/heart of gold' character arc, opting instead for a melancholy, technical loner.
Cillian Frost	sonnet_4_6	3.2	Clearly Irish: Galway birth, University of Limerick, Killybegs apprenticeship strongly establish Irish identity; Cold bastard surface: Aberdeen isolation, never fully unpacking boxes, communicating with ex-wife only through a spreadsheet, North Sea swimming in any temperature all project emotional detachment and hardness; Heart of gold (partial/implicit): the fourteen volumes of hand-drawn engine diagrams suggest quiet devotion and care beneath a gruff exterior; deep respect for the Norwegian colleague hints at hidden warmth	Total joker: there is essentially no humor, wit, or comedic personality in any of the facts; this seed element is almost entirely absent; Heart of gold (explicit): the warmth is only faintly implied rather than clearly recoverable; no acts of generosity, loyalty, or emotional depth toward others are present; The 'cold bastard' reads more as genuine emotional unavailability than a performed persona concealing warmth, flattening the dramatic tension the seed intended	The facts nail the Irish identity and project a convincingly cold, closed-off exterior, but almost completely miss the joker personality and leave the heart-of-gold undercurrent too faint to register without squinting.
Cillian Frost	mean	3.07			clearly Irish; total joker; comes off like a cold bastard; secretly has a heart of gold
Isolde Marrow-Lark	grok_4_20	2.5	father repaired church organs; Yorkshire / West Yorkshire setting; Whitby connection (fishmonger); handwritten personal habits / cards; specific recurring personal rituals (walks, notebook, broth, herbs)	Cairn mystery name / deliberate invitation to unusual character; no recovery of any actual hidden seed facts (the seed supplied zero concrete details); models invented entirely different professions (payroll, osteopath, archivist); no model independently generated the specific consolidated combination of quirks; many details are generic quirky-English-woman tropes rather than precise recovery	The models produced plausible, gently eccentric Yorkshire women named Isolde Marrow-Lark, but only weakly recovered the hidden seed's intent; they converged on organ-repairing fathers and regional rituals by coincidence rather than by deeply decoding the 'Cairn mystery' prompt.
Isolde Marrow-Lark	gemini_3_flash	4	unusual but plausible character; specific Yorkshire/Northern English setting; eccentric hobbies (sky-color recording, marrow broth); niche occupations (organ repair, biscuit payroll); melancholic/quiet tone	the 'Cairn' prompt element (usually implying a specific RPG system or folk-horror tone) was interpreted as 'quaint/mundane' rather than 'adventurer/weird-fiction'	The models successfully intuited the 'unusual but plausible' prompt by generating a highly specific, slightly eccentric Northern English life that feels grounded yet distinctively odd.
Isolde Marrow-Lark	sonnet_4_6	1	The name 'Marrow-Lark' prompted organ-related and bird-related details (organ repair, larks/finches, barn owl mug) that loosely echo the compound surname's components; Yorkshire/Northern England grounding feels consistent with a 'Cairn' aesthetic of rooted, specific locality	The seed specified 'mystery' as a tonal quality — none of the generated facts carry genuine mystery, ambiguity, or unresolved strangeness; everything is cosy and mundane; The seed's intent was to invite an 'unusual but plausible character' — the facts skew heavily toward plausible but not unusual; the character is thoroughly ordinary; No fact introduces any narrative tension, unexplained habit, or suggestive gap that would constitute 'mystery'; The 'Cairn' framing implies a sparse, evocative, old-world or folkloric register — the facts are warm-realist domestic fiction, not that register; The seed explicitly withheld facts to leave space for imagination; the models filled that space densely and conventionally rather than sparingly and strangely	The models recovered the surname's lexical components (marrow→broth, lark→birds, organ→father's trade) but entirely missed the seed's core instruction to generate mystery and unusual character, producing instead a thoroughly pleasant and unremarkable Yorkshire everywoman.
Isolde Marrow-Lark	mean	2.50			Cairn mystery name, chosen to invite an unusual but plausible character without supplying any facts
