character	group	dimension	consensus_score	description
Haruki Minamoto	HEXACO	HEXACO_Honesty_Humility	4.067	sincere, fair, modest, not exploitative
Haruki Minamoto	HEXACO	HEXACO_Emotionality	3.133	emotionally sensitive, anxious or attached, responsive to risk and loss
Haruki Minamoto	HEXACO	HEXACO_Extraversion	3.167	socially bold, energetic, expressive, socially confident
Haruki Minamoto	HEXACO	HEXACO_Agreeableness	3.700	patient, forgiving, flexible under conflict
Haruki Minamoto	HEXACO	HEXACO_Conscientiousness	4.833	organised, disciplined, careful, persistent
Haruki Minamoto	HEXACO	HEXACO_Openness	3.600	curious, imaginative, intellectually and aesthetically exploratory
Haruki Minamoto	Beyond HEXACO	Sentimentality	3.933	attachment warmth and emotional tenderness toward close others
Haruki Minamoto	Beyond HEXACO	Social_Anxiety	2.167	self-consciousness or discomfort in evaluative social settings
Haruki Minamoto	Beyond HEXACO	Trust_Benevolence	3.667	expectation that other people are basically well-intentioned
Haruki Minamoto	Beyond HEXACO	Affective_Responsiveness	3.733	capacity for empathic emotional resonance with others
Haruki Minamoto	Beyond HEXACO	SVO_Prosocial_Orientation	4.200	preference for cooperative or mutually beneficial outcomes
Cillian Frost	HEXACO	HEXACO_Honesty_Humility	3.833	sincere, fair, modest, not exploitative
Cillian Frost	HEXACO	HEXACO_Emotionality	2.667	emotionally sensitive, anxious or attached, responsive to risk and loss
Cillian Frost	HEXACO	HEXACO_Extraversion	2.167	socially bold, energetic, expressive, socially confident
Cillian Frost	HEXACO	HEXACO_Agreeableness	3.333	patient, forgiving, flexible under conflict
Cillian Frost	HEXACO	HEXACO_Conscientiousness	4.733	organised, disciplined, careful, persistent
Cillian Frost	HEXACO	HEXACO_Openness	2.633	curious, imaginative, intellectually and aesthetically exploratory
Cillian Frost	Beyond HEXACO	Sentimentality	3.133	attachment warmth and emotional tenderness toward close others
Cillian Frost	Beyond HEXACO	Social_Anxiety	2.933	self-consciousness or discomfort in evaluative social settings
Cillian Frost	Beyond HEXACO	Trust_Benevolence	3.233	expectation that other people are basically well-intentioned
Cillian Frost	Beyond HEXACO	Affective_Responsiveness	2.833	capacity for empathic emotional resonance with others
Cillian Frost	Beyond HEXACO	SVO_Prosocial_Orientation	3.367	preference for cooperative or mutually beneficial outcomes
Bud Heffner	HEXACO	HEXACO_Honesty_Humility	3.833	sincere, fair, modest, not exploitative
Bud Heffner	HEXACO	HEXACO_Emotionality	2.333	emotionally sensitive, anxious or attached, responsive to risk and loss
Bud Heffner	HEXACO	HEXACO_Extraversion	2.767	socially bold, energetic, expressive, socially confident
Bud Heffner	HEXACO	HEXACO_Agreeableness	3.467	patient, forgiving, flexible under conflict
Bud Heffner	HEXACO	HEXACO_Conscientiousness	4.900	organised, disciplined, careful, persistent
Bud Heffner	HEXACO	HEXACO_Openness	2.100	curious, imaginative, intellectually and aesthetically exploratory
Bud Heffner	Beyond HEXACO	Sentimentality	3.167	attachment warmth and emotional tenderness toward close others
Bud Heffner	Beyond HEXACO	Social_Anxiety	2.400	self-consciousness or discomfort in evaluative social settings
Bud Heffner	Beyond HEXACO	Trust_Benevolence	3.233	expectation that other people are basically well-intentioned
Bud Heffner	Beyond HEXACO	Affective_Responsiveness	2.733	capacity for empathic emotional resonance with others
Bud Heffner	Beyond HEXACO	SVO_Prosocial_Orientation	3.433	preference for cooperative or mutually beneficial outcomes
