character	scorer	alignment_score_0_to_5	matched_elements	missing_or_different_elements	one_sentence_read
Haruki Minamoto	gemini_3_flash	1	meticulous nature (logbooks of dough ratios, humidity, and water temperature); Japanese nationality/setting	robotics engineer (replaced by soba restaurant manager/civil engineering dropout); spiking neural networks (replaced by amateur radio and manual dough preparation); professional technical background (replaced by manual labor and municipal service)	While the models successfully captured the 'meticulous' trait through detailed record-keeping and technical hobbies, they completely failed to recover the core professional identity of a robotics engineer working on neural networks, instead pivoting to traditional trades and domestic life.
Haruki Minamoto	grok_4_20	1	Japanese name; meticulous/detailed logging habit	robotics engineer; spiking neural networks; any connection to engineering beyond one model vaguely mentioning mechanical keyboards; any technical or scientific background; location mostly wrong (Matsumoto soba shop vs implied tech hub); all generated biographies are about restaurant owners, archivists, or quiet hobbyists with zero overlap on AI/neuroscience/robotics	The models completely failed to recover the core identity of a meticulous Japanese robotics engineer working on spiking neural networks, instead producing three entirely unrelated cozy Japanese everyman biographies that share only a plausible name and one generic meticulous habit.
Haruki Minamoto	sonnet_4_6	0		robotics engineer (character is a restaurant owner/manager); spiking neural networks (no technology or neuroscience content whatsoever); meticulous trait (partially present in logbook detail, but applied to soba-making not engineering); Japan (correctly set in Japan, but this is trivially expected from a Japanese name)	The generated facts portray a soba restaurant owner and community figure in Nagano with no connection to robotics, engineering, or neural networks of any kind, missing every substantive element of the seed description.
Haruki Minamoto	mean	0.67			meticulous robotics engineer from Japan who works on spiking neural networks
Cillian Frost	gemini_3_flash	2	clearly Irish (Galway birth, UCD, Cork, Saoirse); comes off like a cold bastard (refrigeration business, harsh cold snap birth, grey wool coat, solitary walks, meticulous/rigid logbooks)	total joker (completely missing; the character is portrayed as somber, meticulous, and solitary); secretly has a heart of gold (weakly implied by saving the uncle's business, but lacks the 'secret warmth' contrast to the 'cold' exterior)	The models successfully captured the Irish heritage and leaned heavily into the 'cold' aesthetic of the name, but completely failed to recover the 'joker' personality trait, resulting in a character who is overly dour.
Cillian Frost	grok_4_20	4.5	clearly Irish; cold bastard exterior; heart of gold; dry/joker personality implied through meticulous, deadpan life details	explicit 'total joker' / overt humor is only subtly implied rather than directly shown	The final facts very strongly recovered the hidden seed: a clearly Irish Cillian with a reserved, methodical, somewhat cold exterior (scar, solitary walks, obsessive logging, pragmatic repairs) who is revealed as warm-hearted through handmade wedding efforts, family loyalty, and quiet sentimentality.
Cillian Frost	sonnet_4_6	2	Clearly Irish: Galway birth, Cork business, Lee Fields (Cork), wife named Saoirse, UCD — strongly and specifically Irish throughout; Cold bastard surface impression: refrigeration business, cold snap birth, scar from frozen cattle trough, walks alone in all weather, grey coat, sparse registry office wedding — a consistent texture of austerity and emotional distance	Total joker: no humor, wit, pranks, or comedic sensibility appears anywhere in the consolidated facts — this seed element is entirely absent; Heart of gold (secret warmth): the facts are uniformly austere with no counterpoint warmth; the warehouse reception could hint at effort-as-love but reads more as practicality; no acts of quiet generosity, loyalty, or hidden tenderness are present	The facts nail the Irish setting with specificity and build a convincingly cold, self-sufficient exterior, but the character's defining comedic personality and the crucial hidden warmth that gives the archetype its depth are both completely missing from the final set.
Cillian Frost	mean	2.83			clearly Irish; total joker; comes off like a cold bastard; secretly has a heart of gold
Bud Heffner	gemini_3_flash	1	American nationality	Physical description (fat/obese); Antagonistic personality (making life difficult for others); Character arc (realizing he needs help); Current conflict/struggle	The models completely failed to capture the character's negative traits and specific arc, instead producing a generic, nostalgic, and highly competent 'blue-collar grandpa' archetype.
Bud Heffner	grok_4_20	1.5	American; male; blue-collar / working-class background; mechanically inclined (restoring motors, meticulous maintenance logs); Midwestern / small-town Indiana setting; detailed personal rituals and routines	fat ass / physically large and obese; makes life difficult for people around him (no abrasiveness, grumpiness, or difficult personality shown); eventually realises he needs help (no character arc, no realization, no growth); antagonistic or burdensome behavior toward others	The models successfully recovered a detailed, mechanically-inclined, tradition-heavy Midwestern blue-collar life for Bud Heffner, but completely failed to capture the core seed traits of him being a fat, difficult, burdensome person who eventually has a moment of self-awareness.
Bud Heffner	sonnet_4_6	1	American male, implicitly middle-aged to older; Working-class Midwestern background consistent with 'fat ass' archetype (hardware store, refrigeration technician, bread delivery, bowling, chili, fishing); Stubborn, set-in-his-ways personality traits visible (flip phone refusal, same thermos, same cabin, same traditions since 1987) loosely suggest someone resistant to change	No indication of obesity or physical size as a character trait; No depiction of making life difficult for people around him — no interpersonal conflict, friction, or antagonism toward family, coworkers, or community; No arc or hint of eventual self-awareness or seeking help — the character reads as contentedly static, not someone on a journey toward change; The 'eventually realises he needs help' element (the emotional/dramatic core of the seed) is entirely absent; The character is portrayed sympathetically and nostalgically throughout, with no tension or negative social impact	The generated facts produced a warmly nostalgic, detail-rich portrait of a stubborn but harmless Midwestern everyman, capturing the demographic shell of the seed while completely missing its dramatic core: a difficult, burdensome person who eventually confronts his need for help.
Bud Heffner	mean	1.17			American fat ass who makes life difficult for people around him but eventually realises he needs help
