rank	model	stage	condition	scorer	n	model_id	source_note	hexaco6_mean_r	beyond10_mean_r	continuous16_mean_r	svo_r
1	Qwen 3.7 Max	Profile	Interwoven biography	Gemini 3 Flash	50	qwen/qwen3.7-max	50-PID exploratory OpenRouter slice	0.900	0.749	0.811	0.907
2	GLM 5.1	Profile	Interwoven biography	Gemini 3 Flash	50	z-ai/glm-5.1	50-PID exploratory OpenRouter slice	0.911	0.712	0.793	0.905
3	MiniMax M2.7	Profile	Interwoven biography	Gemini 3 Flash	50	minimax/minimax-m2.7	50-PID exploratory OpenRouter slice	0.899	0.722	0.782	0.673
4	MiniMax M3	Profile	Interwoven biography	Gemini 3 Flash	50	minimax/minimax-m3	50-PID exploratory OpenRouter slice	0.884	0.710	0.782	0.890
5	Kimi K2.6	Profile	Interwoven biography	Gemini 3 Flash	50	moonshotai/kimi-k2.6	50-PID exploratory OpenRouter slice	0.906	0.696	0.781	0.878
6	MiMo v2.5 Pro	Profile	Interwoven biography	Gemini 3 Flash	50	xiaomi/mimo-v2.5-pro	50-PID exploratory OpenRouter slice	0.892	0.692	0.774	0.878
1	GLM 5.1	4-part LSI	Interwoven biography	Gemini 3 Flash	50	z-ai/glm-5.1	50-PID exploratory OpenRouter slice	0.751	0.610	0.657	0.569
2	Qwen 3.7 Max	4-part LSI	Interwoven biography	Gemini 3 Flash	50	qwen/qwen3.7-max	50-PID exploratory OpenRouter slice	0.680	0.570	0.605	0.513
3	Kimi K2.6	4-part LSI	Interwoven biography	Gemini 3 Flash	50	moonshotai/kimi-k2.6	50-PID exploratory OpenRouter slice	0.676	0.526	0.574	0.449
4	MiniMax M2.7	4-part LSI	Interwoven biography	Gemini 3 Flash	50	minimax/minimax-m2.7	50-PID exploratory OpenRouter slice	0.645	0.544	0.555	0.132
5	MiMo v2.5 Pro	4-part LSI	Interwoven biography	Gemini 3 Flash	50	xiaomi/mimo-v2.5-pro	50-PID exploratory OpenRouter slice	0.612	0.500	0.534	0.415
6	MiniMax M3	4-part LSI	Interwoven biography	Gemini 3 Flash	50	minimax/minimax-m3	50-PID exploratory OpenRouter slice	0.636	0.444	0.508	0.373
